Event ID,Chamber ID,# Hits,Energy [GeV],# Particles
1,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
1,ExternalDetectorEmbedder_Chamber_1SDet,128,0.000497,4
1,ExternalDetectorEmbedder_Chamber_2SDet,118576,0.908,10000
1,ExternalDetectorEmbedder_Chamber_3SDet,247161,1.91,10000
1,ExternalDetectorEmbedder_Chamber_4SDet,248765,1.93,10000
2,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
2,ExternalDetectorEmbedder_Chamber_1SDet,87,0.000399,4
2,ExternalDetectorEmbedder_Chamber_2SDet,118743,0.912,10000
2,ExternalDetectorEmbedder_Chamber_3SDet,249684,1.92,10000
2,ExternalDetectorEmbedder_Chamber_4SDet,249463,1.92,10000
3,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
3,ExternalDetectorEmbedder_Chamber_1SDet,33,0.000197,3
3,ExternalDetectorEmbedder_Chamber_2SDet,120069,0.918,10000
3,ExternalDetectorEmbedder_Chamber_3SDet,246191,1.9,10000
3,ExternalDetectorEmbedder_Chamber_4SDet,250038,1.93,10000
4,ExternalDetectorEmbedder_Chamber_0SDet,12,1.12e-05,1
4,ExternalDetectorEmbedder_Chamber_1SDet,72,0.000403,3
4,ExternalDetectorEmbedder_Chamber_2SDet,118239,0.906,10000
4,ExternalDetectorEmbedder_Chamber_3SDet,245208,1.9,10000
4,ExternalDetectorEmbedder_Chamber_4SDet,249672,1.92,10000
5,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
5,ExternalDetectorEmbedder_Chamber_1SDet,139,0.000612,5
5,ExternalDetectorEmbedder_Chamber_2SDet,118846,0.91,10000
5,ExternalDetectorEmbedder_Chamber_3SDet,246118,1.9,10000
5,ExternalDetectorEmbedder_Chamber_4SDet,247195,1.92,10000
6,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
6,ExternalDetectorEmbedder_Chamber_1SDet,103,0.00045,3
6,ExternalDetectorEmbedder_Chamber_2SDet,119090,0.908,10000
6,ExternalDetectorEmbedder_Chamber_3SDet,245773,1.91,10000
6,ExternalDetectorEmbedder_Chamber_4SDet,245614,1.91,10000
7,ExternalDetectorEmbedder_Chamber_0SDet,67,0.000238,1
7,ExternalDetectorEmbedder_Chamber_1SDet,122,0.000449,2
7,ExternalDetectorEmbedder_Chamber_2SDet,119584,0.913,10000
7,ExternalDetectorEmbedder_Chamber_3SDet,246529,1.91,10000
7,ExternalDetectorEmbedder_Chamber_4SDet,248246,1.92,10000
8,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
8,ExternalDetectorEmbedder_Chamber_1SDet,232,0.00101,5
8,ExternalDetectorEmbedder_Chamber_2SDet,120124,0.916,10000
8,ExternalDetectorEmbedder_Chamber_3SDet,245188,1.9,10000
8,ExternalDetectorEmbedder_Chamber_4SDet,252576,1.94,10000
9,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
9,ExternalDetectorEmbedder_Chamber_1SDet,274,0.0011,7
9,ExternalDetectorEmbedder_Chamber_2SDet,117981,0.908,10000
9,ExternalDetectorEmbedder_Chamber_3SDet,242937,1.89,10000
9,ExternalDetectorEmbedder_Chamber_4SDet,246713,1.92,10000
10,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
10,ExternalDetectorEmbedder_Chamber_1SDet,51,0.000237,5
10,ExternalDetectorEmbedder_Chamber_2SDet,121692,0.922,10000
10,ExternalDetectorEmbedder_Chamber_3SDet,242911,1.9,10000
10,ExternalDetectorEmbedder_Chamber_4SDet,248517,1.93,10000
