Event ID,Chamber ID,# Hits,Energy [GeV],# Particles
1,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
1,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
1,ExternalDetectorEmbedder_Chamber_2SDet,12212,0.0914,6174
1,ExternalDetectorEmbedder_Chamber_3SDet,24615,0.189,11934
1,ExternalDetectorEmbedder_Chamber_4SDet,25569,0.193,12387
2,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
2,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
2,ExternalDetectorEmbedder_Chamber_2SDet,12393,0.0925,6326
2,ExternalDetectorEmbedder_Chamber_3SDet,25101,0.19,12110
2,ExternalDetectorEmbedder_Chamber_4SDet,24515,0.188,11915
3,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
3,ExternalDetectorEmbedder_Chamber_1SDet,81,0.000354,36
3,ExternalDetectorEmbedder_Chamber_2SDet,11596,0.09,5916
3,ExternalDetectorEmbedder_Chamber_3SDet,25581,0.193,12373
3,ExternalDetectorEmbedder_Chamber_4SDet,26216,0.198,12646
4,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
4,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
4,ExternalDetectorEmbedder_Chamber_2SDet,12331,0.0911,6241
4,ExternalDetectorEmbedder_Chamber_3SDet,23728,0.186,11568
4,ExternalDetectorEmbedder_Chamber_4SDet,25067,0.192,12176
5,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
5,ExternalDetectorEmbedder_Chamber_1SDet,109,0.000489,48
5,ExternalDetectorEmbedder_Chamber_2SDet,12440,0.0926,6288
5,ExternalDetectorEmbedder_Chamber_3SDet,25313,0.193,12254
5,ExternalDetectorEmbedder_Chamber_4SDet,25412,0.192,12292
6,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
6,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
6,ExternalDetectorEmbedder_Chamber_2SDet,11543,0.0895,5891
6,ExternalDetectorEmbedder_Chamber_3SDet,25257,0.191,12229
6,ExternalDetectorEmbedder_Chamber_4SDet,26131,0.196,12648
7,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
7,ExternalDetectorEmbedder_Chamber_1SDet,109,0.000414,47
7,ExternalDetectorEmbedder_Chamber_2SDet,12081,0.0908,6168
7,ExternalDetectorEmbedder_Chamber_3SDet,24917,0.191,12139
7,ExternalDetectorEmbedder_Chamber_4SDet,25681,0.193,12482
8,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
8,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
8,ExternalDetectorEmbedder_Chamber_2SDet,12584,0.0922,6367
8,ExternalDetectorEmbedder_Chamber_3SDet,26078,0.194,12516
8,ExternalDetectorEmbedder_Chamber_4SDet,26367,0.197,12729
9,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
9,ExternalDetectorEmbedder_Chamber_1SDet,10,4.34e-05,5
9,ExternalDetectorEmbedder_Chamber_2SDet,11530,0.0886,5911
9,ExternalDetectorEmbedder_Chamber_3SDet,25042,0.191,12112
9,ExternalDetectorEmbedder_Chamber_4SDet,24783,0.191,12029
10,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
10,ExternalDetectorEmbedder_Chamber_1SDet,5,2.23e-05,3
10,ExternalDetectorEmbedder_Chamber_2SDet,12165,0.0914,6209
10,ExternalDetectorEmbedder_Chamber_3SDet,24875,0.19,12082
10,ExternalDetectorEmbedder_Chamber_4SDet,24555,0.189,11932
