Event ID,Chamber ID,# Hits,Energy [GeV],# Particles
1,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
1,ExternalDetectorEmbedder_Chamber_1SDet,99,0.000361,1
1,ExternalDetectorEmbedder_Chamber_2SDet,11989,0.0915,1000
1,ExternalDetectorEmbedder_Chamber_3SDet,26382,0.199,1000
1,ExternalDetectorEmbedder_Chamber_4SDet,24967,0.194,1000
2,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
2,ExternalDetectorEmbedder_Chamber_1SDet,8,2.36e-05,1
2,ExternalDetectorEmbedder_Chamber_2SDet,12015,0.0919,1000
2,ExternalDetectorEmbedder_Chamber_3SDet,22931,0.185,1000
2,ExternalDetectorEmbedder_Chamber_4SDet,24682,0.191,1000
3,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
3,ExternalDetectorEmbedder_Chamber_1SDet,16,9.76e-05,1
3,ExternalDetectorEmbedder_Chamber_2SDet,11839,0.0906,1000
3,ExternalDetectorEmbedder_Chamber_3SDet,25543,0.194,1000
3,ExternalDetectorEmbedder_Chamber_4SDet,24549,0.193,1000
4,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
4,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
4,ExternalDetectorEmbedder_Chamber_2SDet,11636,0.0898,1000
4,ExternalDetectorEmbedder_Chamber_3SDet,25287,0.192,1000
4,ExternalDetectorEmbedder_Chamber_4SDet,24205,0.19,1000
5,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
5,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
5,ExternalDetectorEmbedder_Chamber_2SDet,11783,0.0904,1000
5,ExternalDetectorEmbedder_Chamber_3SDet,25478,0.194,1000
5,ExternalDetectorEmbedder_Chamber_4SDet,25060,0.194,1000
6,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
6,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
6,ExternalDetectorEmbedder_Chamber_2SDet,11907,0.0908,1000
6,ExternalDetectorEmbedder_Chamber_3SDet,24001,0.188,1000
6,ExternalDetectorEmbedder_Chamber_4SDet,24835,0.191,1000
7,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
7,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
7,ExternalDetectorEmbedder_Chamber_2SDet,11770,0.0903,1000
7,ExternalDetectorEmbedder_Chamber_3SDet,23984,0.188,1000
7,ExternalDetectorEmbedder_Chamber_4SDet,25158,0.192,1000
8,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
8,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
8,ExternalDetectorEmbedder_Chamber_2SDet,11825,0.0904,1000
8,ExternalDetectorEmbedder_Chamber_3SDet,24843,0.191,1000
8,ExternalDetectorEmbedder_Chamber_4SDet,24652,0.194,1000
9,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
9,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
9,ExternalDetectorEmbedder_Chamber_2SDet,12007,0.092,1000
9,ExternalDetectorEmbedder_Chamber_3SDet,24416,0.19,1000
9,ExternalDetectorEmbedder_Chamber_4SDet,25053,0.193,1000
10,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
10,ExternalDetectorEmbedder_Chamber_1SDet,5,1.48e-05,1
10,ExternalDetectorEmbedder_Chamber_2SDet,11805,0.0902,1000
10,ExternalDetectorEmbedder_Chamber_3SDet,24296,0.189,1000
10,ExternalDetectorEmbedder_Chamber_4SDet,25604,0.197,1000
