Event ID,Chamber ID,# Hits,Energy [GeV],# Particles
1,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
1,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
1,ExternalDetectorEmbedder_Chamber_2SDet,137,0.000885,10
1,ExternalDetectorEmbedder_Chamber_3SDet,273,0.00186,10
1,ExternalDetectorEmbedder_Chamber_4SDet,185,0.00177,10
2,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
2,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
2,ExternalDetectorEmbedder_Chamber_2SDet,86,0.000795,10
2,ExternalDetectorEmbedder_Chamber_3SDet,345,0.00226,10
2,ExternalDetectorEmbedder_Chamber_4SDet,261,0.00195,10
3,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
3,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
3,ExternalDetectorEmbedder_Chamber_2SDet,114,0.000861,10
3,ExternalDetectorEmbedder_Chamber_3SDet,274,0.00193,10
3,ExternalDetectorEmbedder_Chamber_4SDet,303,0.00206,10
4,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
4,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
4,ExternalDetectorEmbedder_Chamber_2SDet,126,0.000847,10
4,ExternalDetectorEmbedder_Chamber_3SDet,369,0.00215,10
4,ExternalDetectorEmbedder_Chamber_4SDet,272,0.00197,10
5,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
5,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
5,ExternalDetectorEmbedder_Chamber_2SDet,138,0.000977,10
5,ExternalDetectorEmbedder_Chamber_3SDet,163,0.00164,10
5,ExternalDetectorEmbedder_Chamber_4SDet,454,0.0026,10
6,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
6,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
6,ExternalDetectorEmbedder_Chamber_2SDet,174,0.00111,10
6,ExternalDetectorEmbedder_Chamber_3SDet,178,0.00163,10
6,ExternalDetectorEmbedder_Chamber_4SDet,254,0.00194,10
7,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
7,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
7,ExternalDetectorEmbedder_Chamber_2SDet,101,0.000898,10
7,ExternalDetectorEmbedder_Chamber_3SDet,398,0.00256,10
7,ExternalDetectorEmbedder_Chamber_4SDet,265,0.00206,10
8,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
8,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
8,ExternalDetectorEmbedder_Chamber_2SDet,78,0.00076,10
8,ExternalDetectorEmbedder_Chamber_3SDet,308,0.00205,10
8,ExternalDetectorEmbedder_Chamber_4SDet,205,0.00166,10
9,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
9,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
9,ExternalDetectorEmbedder_Chamber_2SDet,166,0.00108,10
9,ExternalDetectorEmbedder_Chamber_3SDet,244,0.00199,10
9,ExternalDetectorEmbedder_Chamber_4SDet,275,0.00211,10
10,ExternalDetectorEmbedder_Chamber_0SDet,0,0,0
10,ExternalDetectorEmbedder_Chamber_1SDet,0,0,0
10,ExternalDetectorEmbedder_Chamber_2SDet,150,0.000908,10
10,ExternalDetectorEmbedder_Chamber_3SDet,199,0.00171,10
10,ExternalDetectorEmbedder_Chamber_4SDet,443,0.00264,10
